model,group,case,xlink_regime,n_runs_used,mean_vz_abs_mean,mean_vz_abs_sem,peak_vz_abs_mean,peak_vz_abs_sem,time_to_peak_min_mean,time_to_peak_min_sem,auc_vz_abs_mean,auc_vz_abs_sem,active_transport_fraction_mean,active_transport_fraction_sem,onset_time_min_mean,onset_time_min_sem,net_z_displacement_mean,net_z_displacement_sem,abs_net_z_displacement_mean,abs_net_z_displacement_sem,early_mean_vz_abs_mean,early_mean_vz_abs_sem,mid_mean_vz_abs_mean,mid_mean_vz_abs_sem,late_mean_vz_abs_mean,late_mean_vz_abs_sem
control,control,c0_m0,1:16,10,0.0036323752605557933,0.00010169601832209435,0.02272109451073337,0.0017735478777596608,4.608333333333333,1.3720315881977156,2.9007437384328965,0.08128363429523552,0.05,0.005106504566617844,3.66,1.7288612180019285,0.09377318469614485,0.044943776945990305,0.1373172481824439,0.030031226887278478,0.003939953419133817,0.00011838091532078392,0.003525757321314773,0.00011010399654650741,0.0034732725857364775,0.0001359214145294963
control,control,c0_m0,1:4,10,0.0036056047648236654,0.00014955203459634316,0.020397340622545425,0.0015797701056094351,8.09,1.5356568546744556,2.8802203502225696,0.11955311732418536,0.05,0.0076444424257103285,5.516666666666667,1.9585519972484589,-0.05602751786439231,0.05186984793491408,0.15090248044800347,0.022563131864478787,0.0036348854892488376,0.00015603347442936618,0.003576358757180763,0.00017112305142196228,0.0036124082481771304,0.00015868249281224663
control,control,c0_m0,1:8,10,0.0037256950967266924,0.00016628009262621284,0.023655365850440525,0.0029510932953628233,6.068333333333333,1.7422694331755286,2.974060674201845,0.13288872927333867,0.05,0.008424501304066741,8.675,2.3778929748834368,0.02313451924878541,0.03643095866457161,0.08670049397121203,0.02348324004949008,0.003711106051558307,0.00011031060965539535,0.0036039807617047857,0.00017310661876460302,0.003878955948457788,0.0002719271535387612
fixed_global,mpc12,c10_m12,1:16,10,0.002152222074167356,3.4580457641775405e-05,0.010703504714652154,0.0004176442296093339,6.953333333333333,1.4072229898668784,1.7135572684220517,0.02838046448061616,0.0032499999999999994,0.0009895285072531596,nan,nan,0.164647359746593,0.050706589578687844,0.19582355239518517,0.036365908087364285,0.0022282866818169535,8.042335433878635e-05,0.0021540424359088378,7.027468659018186e-05,0.0020810408331633527,6.336587908283085e-05
fixed_global,mpc12,c10_m12,1:4,10,0.0027991506214691615,6.25831438043982e-05,0.01389429987894531,0.0008925051492067816,4.326666666666666,1.013511192968092,2.2281359965348835,0.05010214919434104,0.015000000000000003,0.0017480147469502527,nan,nan,0.141336235354981,0.063074383450972,0.18903337077510715,0.0471966533502838,0.0029154653846572864,0.00012551919178321137,0.0027729513749822003,7.857611127051053e-05,0.0027234897829474607,8.978002184343414e-05
fixed_global,mpc12,c10_m12,1:8,10,0.002450032227797377,6.67339039726176e-05,0.011983586501476112,0.000628082323643204,9.043333333333335,1.3813309917040069,1.951763107767968,0.053433158908281084,0.006,0.0009279607271383369,nan,nan,0.19328746378301892,0.040527054931093945,0.20180653013576344,0.035615458071408326,0.0023148144819442823,8.917644613759527e-05,0.00246216464489448,9.131145467763531e-05,0.0025589715346061755,8.69035458650747e-05
fixed_global,mpc12,c20_m12,1:16,10,0.0022446594920671518,6.978810816001267e-05,0.01172040403607415,0.0008759155125605405,6.303333333333333,1.0556660760853929,1.7880460550901571,0.05611620453979358,0.006,0.001632993161855452,nan,nan,0.2836278302720536,0.05991255738591418,0.29063619847289035,0.05605649633751813,0.002333378843550118,0.00010839203380530185,0.0023091393661210415,0.0001160539485487786,0.0020902351872232106,6.051765222345584e-05
fixed_global,mpc12,c20_m12,1:4,10,0.002830974239876532,7.479675962910364e-05,0.014226998361484977,0.0008541523309681849,6.466666666666667,1.0765399535572,2.259063656134736,0.0604774677791402,0.02025,0.003641008712492247,8.666666666666666,0.0,0.424143586816977,0.07319342063411313,0.424143586816977,0.07319342063411313,0.002934170159833599,9.658857780526969e-05,0.002873016353475049,8.697684215708608e-05,0.0026890915565584515,9.943054352208909e-05
fixed_global,mpc12,c20_m12,1:8,10,0.0026395761875081226,4.752721843960663e-05,0.013207688386168998,0.0007292972187818892,5.82,1.398236985159049,2.1055930338526325,0.037902600333312046,0.0155,0.0031358146203711293,4.1000000000000005,2.0916057981404657,0.32841199234063706,0.09570928752919551,0.37240899269476174,0.0757249323005717,0.0027815357296350155,0.00010584640229373096,0.0025946569636559873,8.229074128927951e-05,0.0025620547986891905,0.00010143813626668026
fixed_global,mpc12,c40_m12,1:16,9,0.002449477391497352,8.306256819243524e-05,0.012595746398227092,0.0008670789385074487,3.8740740740740742,1.6344174196891272,1.9515059646151183,0.06575410664468186,0.009444444444444443,0.0024922720062397724,6.666666666666667,4.233333333333334,0.5599875239351814,0.12303492090649178,0.5599875239351814,0.12303492090649178,0.0026686249822896165,0.00017088950417211925,0.002402469687997854,7.584626897968886e-05,0.0023042300038686914,9.98223603538132e-05
fixed_global,mpc12,c40_m12,1:4,10,0.0029541020815809045,6.412852788766047e-05,0.01652496074866515,0.0012067073009760813,5.576666666666666,1.543237338027266,2.3556731806034628,0.05224002212395805,0.02025,0.0017260262647673312,1.2,0.0,0.687371479280738,0.07772517200822965,0.687371479280738,0.07772517200822965,0.0031069552273802264,8.965303600133657e-05,0.002886614449723471,8.480799806143328e-05,0.002892526665004536,7.329283312577444e-05
fixed_global,mpc12,c40_m12,1:8,10,0.002837426473337705,0.00011848197011640955,0.014654544453279966,0.001357358027718159,5.0200000000000005,1.1479471747643193,2.2612430536347543,0.0943732116742787,0.02425,0.005963430220938281,5.408333333333333,2.298283377105939,0.7855756842091215,0.12372340674872741,0.7855756842091215,0.12372340674872741,0.0030121882508474395,0.0001775463213393079,0.0028050873423705507,0.00015248397908698886,0.002715702947546978,0.00012579340301206078
fixed_global,mpc12,c60_m12,1:16,10,0.0027581750937464545,9.844855605803107e-05,0.015458158736831831,0.0010654130129479926,5.373333333333333,1.4043037904251592,2.199365052123871,0.07871919223733008,0.02025,0.00502009849394301,4.025,2.235089483667265,0.943971477446237,0.1091629080383143,0.943971477446237,0.1091629080383143,0.003051337935230267,0.00019679765456089994,0.0027587126796301863,8.937598973785426e-05,0.002491251307340855,0.00011946916473320897
fixed_global,mpc12,c60_m12,1:4,10,0.003132418176462945,8.674513280269427e-05,0.016097199083152335,0.0013555787969868767,4.859999999999999,1.165457574528001,2.492172414209464,0.06957003841206126,0.028250000000000004,0.004787860807407742,2.8888888888888893,1.2708022157696053,0.9857557003129879,0.08860887360049337,0.9857557003129879,0.08860887360049337,0.003172765743389503,0.00012616514189390819,0.003222222976171244,0.00018923813677535606,0.002992936646535422,8.428957016516899e-05
fixed_global,mpc12,c60_m12,1:8,10,0.002882287599832151,0.0001046972935794951,0.014759988700240922,0.0008293363684677954,5.043333333333334,1.2423002360714617,2.2968529397650506,0.08331937605247838,0.018000000000000002,0.003905124837953327,9.011111111111111,1.8613349782439932,0.8649611046809031,0.10459292357815528,0.8649611046809031,0.10459292357815528,0.0030451040772773975,0.00013725008512520417,0.002838616878030752,0.00013636951778449462,0.0027843902521544816,0.0001506221123631606
fixed_global,mpc12,c80_m12,1:16,10,0.002612463891309689,8.25895317356512e-05,0.01401912732846262,0.0008838027046705694,3.5333333333333337,0.7206307251119041,2.0826107971888264,0.06555314724345623,0.0175,0.0032914029430219168,2.4499999999999997,1.2718097341976904,1.0042491990882727,0.06728593790450298,1.0042491990882727,0.06728593790450298,0.003052588881313535,0.00010720489903888167,0.0024713472584617533,9.268594437456361e-05,0.002374239625025205,0.00012311785610175883
fixed_global,mpc12,c80_m12,1:4,10,0.0033880498462878867,7.055441637002631e-05,0.01601079311073767,0.0008575282194311441,4.596666666666666,0.9516775312346037,2.6993635081697707,0.05609393724259987,0.03849999999999999,0.00291547594742265,1.9444444444444446,0.9345891022922624,1.4103524082208998,0.10877947437246407,1.4103524082208998,0.10877947437246407,0.0039867367302787796,0.00017920346373964926,0.003233897364957336,0.00012566506914925166,0.003020714983728087,7.547912092842278e-05
fixed_global,mpc12,c80_m12,1:8,10,0.0029978143310008818,8.512235555357481e-05,0.01508493538831016,0.0008766229103318136,3.44,1.021917829075663,2.3907028931021244,0.06760205489298925,0.0235,0.005099019513592784,4.833333333333334,1.4761687146373461,0.9630308114844748,0.10474555825834732,0.9630308114844748,0.10474555825834732,0.003319128137018651,9.694044794775684e-05,0.002864963297649562,0.0001499604431460205,0.0028580533545625878,0.00010721951089291729
fixed_global,total480,c10_m48,1:16,10,0.002347000477783164,7.447540983140096e-05,0.016997394892012983,0.0021536039117517488,5.46,1.2701492086938757,1.8717481500316275,0.059935346467030616,0.016000000000000004,0.003982601048449506,4.866666666666666,2.0627651344736266,0.3698148331289323,0.07617231503108791,0.3698148331289323,0.07617231503108791,0.0025900256977762436,0.00016224214159022465,0.0021319574866509373,9.468202482552202e-05,0.0023724695425973432,0.0001522956889929557
fixed_global,total480,c10_m48,1:4,10,0.0028407774371405977,6.916563511924129e-05,0.01670672304910003,0.0012252082025931213,4.036666666666667,1.25516660642185,2.2632675677603964,0.05567367986471213,0.02425,0.0029592134840941173,1.8916666666666668,1.086736108892297,0.3787258610318434,0.11451380779173143,0.46273223722738,0.07252039101713957,0.0029731553666916873,0.00016658465113995386,0.002943769844959026,0.00012941894555694856,0.0026025954921837734,5.2571873249009035e-05
fixed_global,total480,c10_m48,1:8,10,0.002749619330871109,7.462548434921022e-05,0.016867377034515917,0.0015814575145348321,4.426666666666667,1.0146920715172658,2.192417747021542,0.05965213586579056,0.01975,0.0031939613161227997,3.8,2.0125163905474714,0.480888417801573,0.06238514580010167,0.480888417801573,0.06238514580010167,0.0031052682801386822,0.00015312129972794934,0.0026468662141909865,9.92718042330708e-05,0.0025442051517808604,0.0001403512679463028
fixed_global,total480,c20_m24,1:16,10,0.0024659740465889954,9.217665274756827e-05,0.014741363828797297,0.0011298432021271192,5.6466666666666665,1.0805828331318517,1.9671390328936351,0.07362908913548735,0.016250000000000004,0.004876958296133177,5.393333333333333,1.0999696965522883,0.5412058665366714,0.10676561596853731,0.557353623792608,0.09709720146855594,0.002602427549833649,0.0001949781988771288,0.0025314527948488486,0.00015791401619377692,0.002267044434947075,9.169563657214546e-05
fixed_global,total480,c20_m24,1:4,10,0.0028614539516128496,0.00011153522061547876,0.014766069847541538,0.0009679775539884675,7.306666666666665,1.5659241739364391,2.2810481809953465,0.08964540990972583,0.020499999999999997,0.006527718675855379,5.933333333333334,5.4,0.4524022008807724,0.10829490822706016,0.4524022008807724,0.10829490822706016,0.0031343232633173805,0.00021925466172873032,0.0026845231223791674,9.512589974941726e-05,0.0028161728546068424,7.36947736142949e-05
fixed_global,total480,c20_m24,1:8,10,0.002851130510059481,0.00011597480088460936,0.01458410143321886,0.0009681717509919796,5.17,1.3693870846675607,2.271576111506805,0.09224170109612913,0.02275,0.006106121700574123,5.008333333333334,1.3241611600472873,0.4602705703601261,0.10601834435692103,0.4602705703601261,0.10601834435692103,0.0030959559452636335,0.0001540084334270382,0.002860798351723574,0.00019426506888967977,0.0026176617845716328,0.00015615914584216919
fixed_global,total480,c40_m12,1:16,9,0.002449477391497352,8.306256819243524e-05,0.012595746398227092,0.0008670789385074487,3.8740740740740742,1.6344174196891272,1.9515059646151183,0.06575410664468186,0.009444444444444443,0.0024922720062397724,6.666666666666667,4.233333333333334,0.5599875239351814,0.12303492090649178,0.5599875239351814,0.12303492090649178,0.0026686249822896165,0.00017088950417211925,0.002402469687997854,7.584626897968886e-05,0.0023042300038686914,9.98223603538132e-05
fixed_global,total480,c40_m12,1:4,10,0.0029541020815809045,6.412852788766047e-05,0.01652496074866515,0.0012067073009760813,5.576666666666666,1.543237338027266,2.3556731806034628,0.05224002212395805,0.02025,0.0017260262647673312,1.2,0.0,0.687371479280738,0.07772517200822965,0.687371479280738,0.07772517200822965,0.0031069552273802264,8.965303600133657e-05,0.002886614449723471,8.480799806143328e-05,0.002892526665004536,7.329283312577444e-05
fixed_global,total480,c40_m12,1:8,10,0.002837426473337705,0.00011848197011640955,0.014654544453279966,0.001357358027718159,5.0200000000000005,1.1479471747643193,2.2612430536347543,0.0943732116742787,0.02425,0.005963430220938281,5.408333333333333,2.298283377105939,0.7855756842091215,0.12372340674872741,0.7855756842091215,0.12372340674872741,0.0030121882508474395,0.0001775463213393079,0.0028050873423705507,0.00015248397908698886,0.002715702947546978,0.00012579340301206078
fixed_global,total480,c60_m8,1:16,10,0.0024918022819907073,9.4968092253991e-05,0.014706779203428857,0.0014499750325978524,5.3566666666666665,1.1749657205401545,1.9861496215563215,0.0757240145926879,0.0125,0.003855011168740126,4.766666666666667,2.521977472217064,0.5960542430717293,0.14545127426053078,0.5960542430717293,0.14545127426053078,0.002523422068667199,0.00016682198222152674,0.0024846328799698987,7.558383815033346e-05,0.002471288203277873,0.0001871878786626605
fixed_global,total480,c60_m8,1:4,10,0.002900190138383523,4.690700895930307e-05,0.014293518678959038,0.0008988002764924644,6.81,1.3963979234064432,2.3127338666356314,0.03781809116287356,0.01975,0.003986957904635228,nan,nan,0.6535029455875649,0.05843871046037473,0.6535029455875649,0.05843871046037473,0.0031117412650265045,6.952609878215662e-05,0.002830396262313791,7.063573867999132e-05,0.002787934392886921,0.00011127179817358011
fixed_global,total480,c60_m8,1:8,10,0.0027430710214628026,7.742423773029892e-05,0.01274858604057757,0.0006939887842162472,6.263333333333334,1.1640971704381993,2.1852708691863634,0.06158052010863577,0.0115,0.0026666666666666666,nan,nan,0.6783917051392093,0.09639894454234774,0.6783917051392093,0.09639894454234774,0.00291732021052945,0.00010192902722242902,0.0026274126516876504,6.510896276921406e-05,0.0027172168380073954,0.00014893063563867087
fixed_global,total480,c80_m6,1:16,10,0.0023630951976145523,4.2329190027121596e-05,0.010333583046868048,0.0006798991206724337,5.2733333333333325,1.1625196135342628,1.8827076747173312,0.033867252131461696,0.0035000000000000005,0.001632993161855452,0.2,0.0,0.5274938873686578,0.048459317023345085,0.5274938873686578,0.048459317023345085,0.0024318374283137695,0.00010784322086003029,0.0023626452974781476,5.6127794743873176e-05,0.0023011651179752684,5.937472962048276e-05
