source,model,group,case,total_motors,label,marker,edge,face,xlink_regime,n_runs_used,mean_vz_abs_mean,mean_vz_abs_sem,peak_vz_abs_mean,peak_vz_abs_sem,time_to_peak_min_mean,time_to_peak_min_sem,auc_vz_abs_mean,auc_vz_abs_sem,active_transport_fraction_mean,active_transport_fraction_sem,onset_time_min_mean,onset_time_min_sem,net_z_displacement_mean,net_z_displacement_sem,abs_net_z_displacement_mean,abs_net_z_displacement_sem,early_mean_vz_abs_mean,early_mean_vz_abs_sem,mid_mean_vz_abs_mean,mid_mean_vz_abs_sem,late_mean_vz_abs_mean,late_mean_vz_abs_sem,std_vz_abs_mean,std_vz_abs_sem
base,control,control,c0_m0,0,0,D,#7f7f7f,#d9d9d9,1:4,10,0.0036056047648236654,0.00014955203459634316,0.020397340622545425,0.0015797701056094351,8.09,1.5356568546744556,2.8802203502225696,0.11955311732418536,0.05,0.0076444424257103285,5.516666666666667,1.9585519972484589,-0.05602751786439231,0.05186984793491408,0.15090248044800347,0.022563131864478787,0.0036348854892488376,0.00015603347442936618,0.003576358757180763,0.00017112305142196228,0.0036124082481771304,0.00015868249281224663,,
base,fixed_global,mpc12,c10_m12,120,120,o,#d95f02,#d95f02,1:4,10,0.0027991506214691615,6.25831438043982e-05,0.01389429987894531,0.0008925051492067816,4.326666666666666,1.013511192968092,2.2281359965348835,0.05010214919434104,0.015000000000000003,0.0017480147469502527,nan,nan,0.141336235354981,0.063074383450972,0.18903337077510715,0.0471966533502838,0.0029154653846572864,0.00012551919178321137,0.0027729513749822003,7.857611127051053e-05,0.0027234897829474607,8.978002184343414e-05,,
base,fixed_global,mpc12,c20_m12,240,240,o,#d95f02,#d95f02,1:4,10,0.002830974239876532,7.479675962910364e-05,0.014226998361484977,0.0008541523309681849,6.466666666666667,1.0765399535572,2.259063656134736,0.0604774677791402,0.02025,0.003641008712492247,8.666666666666666,0.0,0.424143586816977,0.07319342063411313,0.424143586816977,0.07319342063411313,0.002934170159833599,9.658857780526969e-05,0.002873016353475049,8.697684215708608e-05,0.0026890915565584515,9.943054352208909e-05,,
base,fixed_global,mpc12,c40_m12,480,480,o,#d95f02,#d95f02,1:4,10,0.0029541020815809045,6.412852788766047e-05,0.01652496074866515,0.0012067073009760813,5.576666666666666,1.543237338027266,2.3556731806034628,0.05224002212395805,0.02025,0.0017260262647673312,1.2,0.0,0.687371479280738,0.07772517200822965,0.687371479280738,0.07772517200822965,0.0031069552273802264,8.965303600133657e-05,0.002886614449723471,8.480799806143328e-05,0.002892526665004536,7.329283312577444e-05,,
base,fixed_global,mpc12,c80_m12,960,960,o,#d95f02,#d95f02,1:4,10,0.0033880498462878867,7.055441637002631e-05,0.01601079311073767,0.0008575282194311441,4.596666666666666,0.9516775312346037,2.6993635081697707,0.05609393724259987,0.03849999999999999,0.00291547594742265,1.9444444444444446,0.9345891022922624,1.4103524082208998,0.10877947437246407,1.4103524082208998,0.10877947437246407,0.0039867367302787796,0.00017920346373964926,0.003233897364957336,0.00012566506914925166,0.003020714983728087,7.547912092842278e-05,,
motor,fixed_global_motor_force,c40_m50,uf2p5,2000,2000,s,#a63d00,#f28e2b,1:4,10,0.003735326980468983,0.00016944342621721503,0.026375480914106686,0.0025700592233276714,4.783333333333333,1.6903885885342793,2.974226640221667,0.1348428867941179,0.073,0.0076448966274531415,0.4699999999999999,0.28133061258996844,1.571165280718595,0.1644061459337022,1.571165280718595,0.1644061459337022,0.004712413526297961,0.000504838525576192,0.0034480933908556553,0.00032028463175591613,0.0031766379689296743,0.00010644355533033362,0.00395287161046596,0.0003830983793116475
motor,fixed_global_motor_force,c40_m100,uf2p5,4000,4000,^,#7f2704,#fdae6b,1:4,10,0.00465237426836534,0.00022054966135609912,0.03955007453498402,0.0035547395715131097,4.7,1.3113935665618284,3.703494645320139,0.17531737691718413,0.12250000000000001,0.009753916592266354,0.3866666666666666,0.2050112914686155,2.4366572221649734,0.20128685832184695,2.4366572221649734,0.20128685832184695,0.006310867309356026,0.0005451732592702634,0.004117771703079915,0.00031429265385660274,0.003757944595960165,0.00037406528426843234,0.00577635919347791,0.0004787671136937023
base,control,control,c0_m0,0,0,D,#7f7f7f,#d9d9d9,1:8,10,0.0037256950967266924,0.00016628009262621284,0.023655365850440525,0.0029510932953628233,6.068333333333333,1.7422694331755286,2.974060674201845,0.13288872927333867,0.05,0.008424501304066741,8.675,2.3778929748834368,0.02313451924878541,0.03643095866457161,0.08670049397121203,0.02348324004949008,0.003711106051558307,0.00011031060965539535,0.0036039807617047857,0.00017310661876460302,0.003878955948457788,0.0002719271535387612,,
base,fixed_global,mpc12,c10_m12,120,120,o,#d95f02,#d95f02,1:8,10,0.002450032227797377,6.67339039726176e-05,0.011983586501476112,0.000628082323643204,9.043333333333335,1.3813309917040069,1.951763107767968,0.053433158908281084,0.006,0.0009279607271383369,nan,nan,0.19328746378301892,0.040527054931093945,0.20180653013576344,0.035615458071408326,0.0023148144819442823,8.917644613759527e-05,0.00246216464489448,9.131145467763531e-05,0.0025589715346061755,8.69035458650747e-05,,
base,fixed_global,mpc12,c20_m12,240,240,o,#d95f02,#d95f02,1:8,10,0.0026395761875081226,4.752721843960663e-05,0.013207688386168998,0.0007292972187818892,5.82,1.398236985159049,2.1055930338526325,0.037902600333312046,0.0155,0.0031358146203711293,4.1000000000000005,2.0916057981404657,0.32841199234063706,0.09570928752919551,0.37240899269476174,0.0757249323005717,0.0027815357296350155,0.00010584640229373096,0.0025946569636559873,8.229074128927951e-05,0.0025620547986891905,0.00010143813626668026,,
base,fixed_global,mpc12,c40_m12,480,480,o,#d95f02,#d95f02,1:8,10,0.002837426473337705,0.00011848197011640955,0.014654544453279966,0.001357358027718159,5.0200000000000005,1.1479471747643193,2.2612430536347543,0.0943732116742787,0.02425,0.005963430220938281,5.408333333333333,2.298283377105939,0.7855756842091215,0.12372340674872741,0.7855756842091215,0.12372340674872741,0.0030121882508474395,0.0001775463213393079,0.0028050873423705507,0.00015248397908698886,0.002715702947546978,0.00012579340301206078,,
base,fixed_global,mpc12,c80_m12,960,960,o,#d95f02,#d95f02,1:8,10,0.0029978143310008818,8.512235555357481e-05,0.01508493538831016,0.0008766229103318136,3.44,1.021917829075663,2.3907028931021244,0.06760205489298925,0.0235,0.005099019513592784,4.833333333333334,1.4761687146373461,0.9630308114844748,0.10474555825834732,0.9630308114844748,0.10474555825834732,0.003319128137018651,9.694044794775684e-05,0.002864963297649562,0.0001499604431460205,0.0028580533545625878,0.00010721951089291729,,
motor,fixed_global_motor_force,c40_m50,uf2p5,2000,2000,s,#a63d00,#f28e2b,1:8,10,0.003823636098388053,0.00013664458834791772,0.028374865396921866,0.0018195622626930679,3.353333333333334,1.2460822555731708,3.044872681032163,0.1077249065637987,0.07450000000000001,0.007788880963698615,0.7033333333333334,0.272412631820385,1.655972610920669,0.19164463851063393,1.655972610920669,0.19164463851063393,0.004613135667165047,0.0002702037225455745,0.0037365143406426536,0.0003514881834493765,0.003206214838673147,0.00019453250116447063,0.004184194953200626,0.00018445445358027774
motor,fixed_global_motor_force,c40_m100,uf2p5,4000,4000,^,#7f2704,#fdae6b,1:8,10,0.004341305723956803,0.00014366546941897587,0.040844506293179074,0.003205678707704167,2.9,1.062178055799602,3.456454087058269,0.11533432774073844,0.10574999999999998,0.007914912086266868,0.44333333333333336,0.31238034746360327,2.0757774541395446,0.1594581843658159,2.0757774541395446,0.1594581843658159,0.007061034089881341,0.0005215765251342876,0.003113435867720914,0.00013264300952338718,0.003276670631516824,0.00029561937164554556,0.005653897071894918,0.0003172290520164677
base,control,control,c0_m0,0,0,D,#7f7f7f,#d9d9d9,1:16,10,0.0036323752605557933,0.00010169601832209435,0.02272109451073337,0.0017735478777596608,4.608333333333333,1.3720315881977156,2.9007437384328965,0.08128363429523552,0.05,0.005106504566617844,3.66,1.7288612180019285,0.09377318469614485,0.044943776945990305,0.1373172481824439,0.030031226887278478,0.003939953419133817,0.00011838091532078392,0.003525757321314773,0.00011010399654650741,0.0034732725857364775,0.0001359214145294963,,
base,fixed_global,mpc12,c10_m12,120,120,o,#d95f02,#d95f02,1:16,10,0.002152222074167356,3.4580457641775405e-05,0.010703504714652154,0.0004176442296093339,6.953333333333333,1.4072229898668784,1.7135572684220517,0.02838046448061616,0.0032499999999999994,0.0009895285072531596,nan,nan,0.164647359746593,0.050706589578687844,0.19582355239518517,0.036365908087364285,0.0022282866818169535,8.042335433878635e-05,0.0021540424359088378,7.027468659018186e-05,0.0020810408331633527,6.336587908283085e-05,,
base,fixed_global,mpc12,c20_m12,240,240,o,#d95f02,#d95f02,1:16,10,0.0022446594920671518,6.978810816001267e-05,0.01172040403607415,0.0008759155125605405,6.303333333333333,1.0556660760853929,1.7880460550901571,0.05611620453979358,0.006,0.001632993161855452,nan,nan,0.2836278302720536,0.05991255738591418,0.29063619847289035,0.05605649633751813,0.002333378843550118,0.00010839203380530185,0.0023091393661210415,0.0001160539485487786,0.0020902351872232106,6.051765222345584e-05,,
base,fixed_global,mpc12,c40_m12,480,480,o,#d95f02,#d95f02,1:16,9,0.002449477391497352,8.306256819243524e-05,0.012595746398227092,0.0008670789385074487,3.8740740740740742,1.6344174196891272,1.9515059646151183,0.06575410664468186,0.009444444444444443,0.0024922720062397724,6.666666666666667,4.233333333333334,0.5599875239351814,0.12303492090649178,0.5599875239351814,0.12303492090649178,0.0026686249822896165,0.00017088950417211925,0.002402469687997854,7.584626897968886e-05,0.0023042300038686914,9.98223603538132e-05,,
base,fixed_global,mpc12,c80_m12,960,960,o,#d95f02,#d95f02,1:16,10,0.002612463891309689,8.25895317356512e-05,0.01401912732846262,0.0008838027046705694,3.5333333333333337,0.7206307251119041,2.0826107971888264,0.06555314724345623,0.0175,0.0032914029430219168,2.4499999999999997,1.2718097341976904,1.0042491990882727,0.06728593790450298,1.0042491990882727,0.06728593790450298,0.003052588881313535,0.00010720489903888167,0.0024713472584617533,9.268594437456361e-05,0.002374239625025205,0.00012311785610175883,,
motor,fixed_global_motor_force,c40_m50,uf2p5,2000,2000,s,#a63d00,#f28e2b,1:16,10,0.003367621884767801,0.000168031543224288,0.023704144446627617,0.002283010264922169,4.246666666666667,1.3435460726684127,2.6793392931194675,0.13471646004758978,0.057499999999999996,0.009972183534434393,1.1703703703703703,0.49101320179268604,1.1902422299415136,0.177339033083853,1.1902422299415136,0.177339033083853,0.003866364893897976,0.00023763798914052281,0.003566726039992424,0.00021632239522089227,0.0026865834010259375,0.0001758844113862312,0.0035103728278277845,0.00026427809672275964
motor,fixed_global_motor_force,c40_m100,uf2p5,4000,4000,^,#7f2704,#fdae6b,1:16,8,0.004322668144033714,0.00031715754024725246,0.034018258662340616,0.0022189288980510946,2.4375,1.5951493623154034,3.4414076223585974,0.2533363176234828,0.109375,0.015365705669258595,0.22916666666666669,0.12762132416235297,2.212626875593649,0.2761709180412048,2.212626875593649,0.2761709180412048,0.005472225214938667,0.0004743829758643014,0.003756400141335386,0.0003429692714438431,0.003926812487293709,0.0006533163890005656,0.005260865270164084,0.0004315227215583015
